Team,Side,Playbook,Formation,Play Name
49ers,offense,Playbook 4,Singleback,Bunch X Nasty
49ers,offense,Playbook 4,Singleback,Deuce Close
49ers,offense,Playbook 4,Singleback,Tight Y Off Flex
49ers,offense,Playbook 4,Singleback,Wing Pair
49ers,offense,Playbook 4,Singleback,Wing Slot
49ers,offense,Playbook 4,Singleback,Wing Tight Nasty
49ers,offense,Playbook 4,Singleback,Wing Tight Z
49ers,offense,Playbook 4,Singleback,Deuce Close
49ers,offense,Playbook 4,Singleback,Strong Y Off Close
49ers,offense,Playbook 4,Singleback,Wing Flex Close
49ers,offense,Playbook 4,Singleback,Bunch X Nasty
49ers,offense,Playbook 4,Singleback,Bunch Y-Flex
49ers,offense,Playbook 4,Singleback,Deebo Package
49ers,offense,Playbook 4,Singleback,Deuce Close
49ers,offense,Playbook 4,Singleback,Doubles Flex Y Off Close
49ers,offense,Playbook 4,Singleback,Empty Base Flex
49ers,offense,Playbook 4,Singleback,Flex Y Off Close
49ers,offense,Playbook 4,Singleback,Slot Wr Backfield
49ers,offense,Playbook 4,Singleback,Split Close
49ers,offense,Playbook 4,Singleback,Split Twins Stack
49ers,offense,Playbook 4,Singleback,Spread Dbl Flex
49ers,offense,Playbook 4,Singleback,Tight Base Flex
49ers,offense,Playbook 4,Singleback,Tight Y Off
49ers,offense,Playbook 4,Singleback,Trey Open
49ers,offense,Playbook 4,Singleback,Trey Y-Flex
49ers,offense,Playbook 4,Singleback,U Off Stack
49ers,offense,Playbook 4,Singleback,Y Trips Wk
49ers,offense,Playbook 4,Singleback,Close
49ers,offense,Playbook 4,Singleback,Slot Close
49ers,offense,Playbook 4,Singleback,Wing
49ers,offense,Playbook 4,Singleback,Y Off Close
49ers,offense,Playbook 4,Singleback,Wing
49ers,offense,Playbook 4,Singleback,Normal
49ers,offense,Playbook 5,Pistol,Deuce Close
49ers,offense,Playbook 5,Pistol,Strong Y Off Close
49ers,offense,Playbook 5,Pistol,Wing Flex Close
49ers,offense,Playbook 5,Pistol,Bunch X Nasty
49ers,offense,Playbook 5,Pistol,Bunch Y-Flex
49ers,offense,Playbook 5,Pistol,Deebo Package
49ers,offense,Playbook 5,Pistol,Deuce Close
49ers,offense,Playbook 5,Pistol,Doubles Flex Y Off Close
49ers,offense,Playbook 5,Pistol,Empty Base Flex
49ers,offense,Playbook 5,Pistol,Flex Y Off Close
49ers,offense,Playbook 5,Pistol,Slot Wr Backfield
49ers,offense,Playbook 5,Pistol,Split Close
49ers,offense,Playbook 5,Pistol,Split Twins Stack
49ers,offense,Playbook 5,Pistol,Spread Dbl Flex
49ers,offense,Playbook 5,Pistol,Tight Base Flex
49ers,offense,Playbook 5,Pistol,Tight Y Off
49ers,offense,Playbook 5,Pistol,Trey Open
49ers,offense,Playbook 5,Pistol,Trey Y-Flex
49ers,offense,Playbook 5,Pistol,U Off Stack
49ers,offense,Playbook 5,Pistol,Y Trips Wk
49ers,offense,Playbook 5,Pistol,Close
49ers,offense,Playbook 5,Pistol,Slot Close
49ers,offense,Playbook 5,Pistol,Wing
49ers,offense,Playbook 5,Pistol,Y Off Close
49ers,offense,Playbook 5,Pistol,Wing
49ers,offense,Playbook 5,Pistol,Normal
49ers,offense,Playbook 6,Shotgun,Bunch X Nasty
49ers,offense,Playbook 6,Shotgun,Bunch Y-Flex
49ers,offense,Playbook 6,Shotgun,Deebo Package
49ers,offense,Playbook 6,Shotgun,Deuce Close
49ers,offense,Playbook 6,Shotgun,Doubles Flex Y Off Close
49ers,offense,Playbook 6,Shotgun,Empty Base Flex
49ers,offense,Playbook 6,Shotgun,Flex Y Off Close
49ers,offense,Playbook 6,Shotgun,Slot Wr Backfield
49ers,offense,Playbook 6,Shotgun,Split Close
49ers,offense,Playbook 6,Shotgun,Split Twins Stack
49ers,offense,Playbook 6,Shotgun,Spread Dbl Flex
49ers,offense,Playbook 6,Shotgun,Tight Base Flex
49ers,offense,Playbook 6,Shotgun,Tight Y Off
49ers,offense,Playbook 6,Shotgun,Trey Open
49ers,offense,Playbook 6,Shotgun,Trey Y-Flex
49ers,offense,Playbook 6,Shotgun,U Off Stack
49ers,offense,Playbook 6,Shotgun,Y Trips Wk
49ers,offense,Playbook 6,Shotgun,Close
49ers,offense,Playbook 6,Shotgun,Slot Close
49ers,offense,Playbook 6,Shotgun,Wing
49ers,offense,Playbook 6,Shotgun,Y Off Close
49ers,offense,Playbook 6,Shotgun,Wing
49ers,offense,Playbook 6,Shotgun,Normal
49ers,offense,Playbook 7,I Form,Close
49ers,offense,Playbook 7,I Form,Slot Close
49ers,offense,Playbook 7,I Form,Wing
49ers,offense,Playbook 7,I Form,Y Off Close
49ers,offense,Playbook 7,I Form,Wing
49ers,offense,Playbook 7,I Form,Normal
49ers,offense,Playbook 8,Strong I,Wing
49ers,offense,Playbook 8,Strong I,Normal
49ers,offense,Playbook 9,Goal Line Offense,Normal
49ers,defense,Playbook 4,4-3,Even 6-1
49ers,defense,Playbook 4,4-3,Over
49ers,defense,Playbook 4,4-3,Over Solid
49ers,defense,Playbook 4,4-3,Over Wide
49ers,defense,Playbook 4,4-3,Normal
49ers,defense,Playbook 4,4-3,Double Mug
49ers,defense,Playbook 4,4-3,Over
49ers,defense,Playbook 4,4-3,Wide
49ers,defense,Playbook 4,4-3,3-2
49ers,defense,Playbook 4,4-3,Normal
49ers,defense,Playbook 4,4-3,5-3
49ers,defense,Playbook 4,4-3,6-2
49ers,defense,Playbook 4,4-3,3 Deep
49ers,defense,Playbook 5,5-2,Normal
49ers,defense,Playbook 5,5-2,Double Mug
49ers,defense,Playbook 5,5-2,Over
49ers,defense,Playbook 5,5-2,Wide
49ers,defense,Playbook 5,5-2,3-2
49ers,defense,Playbook 5,5-2,Normal
49ers,defense,Playbook 5,5-2,5-3
49ers,defense,Playbook 5,5-2,6-2
49ers,defense,Playbook 5,5-2,3 Deep
49ers,defense,Playbook 6,Nickel,Double Mug
49ers,defense,Playbook 6,Nickel,Over
49ers,defense,Playbook 6,Nickel,Wide
49ers,defense,Playbook 6,Nickel,3-2
49ers,defense,Playbook 6,Nickel,Normal
49ers,defense,Playbook 6,Nickel,5-3
49ers,defense,Playbook 6,Nickel,6-2
49ers,defense,Playbook 6,Nickel,3 Deep
49ers,defense,Playbook 7,Dime,3-2
49ers,defense,Playbook 7,Dime,Normal
49ers,defense,Playbook 7,Dime,5-3
49ers,defense,Playbook 7,Dime,6-2
49ers,defense,Playbook 7,Dime,3 Deep
49ers,defense,Playbook 8,Goal Line Defense,5-3
49ers,defense,Playbook 8,Goal Line Defense,6-2
49ers,defense,Playbook 8,Goal Line Defense,3 Deep
49ers,defense,Playbook 9,Prevent,3 Deep
Bears,offense,Playbook 4,Singleback,Bunch X Nasty
Bears,offense,Playbook 4,Singleback,Deuce Close
Bears,offense,Playbook 4,Singleback,Tight Y Off Flex
Bears,offense,Playbook 4,Singleback,U Off Trips
Bears,offense,Playbook 4,Singleback,Wing Close
Bears,offense,Playbook 4,Singleback,Wing Pair
Bears,offense,Playbook 4,Singleback,Wing Stack
Bears,offense,Playbook 4,Singleback,Wing Tight Left
Bears,offense,Playbook 4,Singleback,Wing Tight Nasty
Bears,offense,Playbook 4,Singleback,Bunch X Nasty
Bears,offense,Playbook 4,Singleback,Deuce Close
Bears,offense,Playbook 4,Singleback,Full House Base
Bears,offense,Playbook 4,Singleback,Strong Y Off Close
Bears,offense,Playbook 4,Singleback,Trips
Bears,offense,Playbook 4,Singleback,U Off Trips
Bears,offense,Playbook 4,Singleback,Bunch Str Nasty
Bears,offense,Playbook 4,Singleback,Bunch Str Offset
Bears,offense,Playbook 4,Singleback,Bunch Y-Flex
Bears,offense,Playbook 4,Singleback,Double Stack
Bears,offense,Playbook 4,Singleback,Empty Base
Bears,offense,Playbook 4,Singleback,Empty Chips Nasty
Bears,offense,Playbook 4,Singleback,Empty Chips Quads
Bears,offense,Playbook 4,Singleback,Normal Y Off Close
Bears,offense,Playbook 4,Singleback,Normal Y Off Wk
Bears,offense,Playbook 4,Singleback,Spread
Bears,offense,Playbook 4,Singleback,Tight Y Off Wk
Bears,offense,Playbook 4,Singleback,Trips
Bears,offense,Playbook 4,Singleback,Trips Hb Wk
Bears,offense,Playbook 4,Singleback,Wing Stack
Bears,offense,Playbook 4,Singleback,Wing Tight Nasty
Bears,offense,Playbook 4,Singleback,Y Off Trips
Bears,offense,Playbook 4,Singleback,Y Off Trips Wk
Bears,offense,Playbook 4,Singleback,H Pro
Bears,offense,Playbook 4,Singleback,Normal
Bears,offense,Playbook 5,Pistol,Bunch X Nasty
Bears,offense,Playbook 5,Pistol,Deuce Close
Bears,offense,Playbook 5,Pistol,Full House Base
Bears,offense,Playbook 5,Pistol,Strong Y Off Close
Bears,offense,Playbook 5,Pistol,Trips
Bears,offense,Playbook 5,Pistol,U Off Trips
Bears,offense,Playbook 5,Pistol,Bunch Str Nasty
Bears,offense,Playbook 5,Pistol,Bunch Str Offset
Bears,offense,Playbook 5,Pistol,Bunch Y-Flex
Bears,offense,Playbook 5,Pistol,Double Stack
Bears,offense,Playbook 5,Pistol,Empty Base
Bears,offense,Playbook 5,Pistol,Empty Chips Nasty
Bears,offense,Playbook 5,Pistol,Empty Chips Quads
Bears,offense,Playbook 5,Pistol,Normal Y Off Close
Bears,offense,Playbook 5,Pistol,Normal Y Off Wk
Bears,offense,Playbook 5,Pistol,Spread
Bears,offense,Playbook 5,Pistol,Tight Y Off Wk
Bears,offense,Playbook 5,Pistol,Trips
Bears,offense,Playbook 5,Pistol,Trips Hb Wk
Bears,offense,Playbook 5,Pistol,Wing Stack
Bears,offense,Playbook 5,Pistol,Wing Tight Nasty
Bears,offense,Playbook 5,Pistol,Y Off Trips
Bears,offense,Playbook 5,Pistol,Y Off Trips Wk
Bears,offense,Playbook 5,Pistol,H Pro
Bears,offense,Playbook 5,Pistol,Normal
Bears,offense,Playbook 6,Shotgun,Bunch Str Nasty
Bears,offense,Playbook 6,Shotgun,Bunch Str Offset
Bears,offense,Playbook 6,Shotgun,Bunch Y-Flex
Bears,offense,Playbook 6,Shotgun,Double Stack
Bears,offense,Playbook 6,Shotgun,Empty Base
Bears,offense,Playbook 6,Shotgun,Empty Chips Nasty
Bears,offense,Playbook 6,Shotgun,Empty Chips Quads
Bears,offense,Playbook 6,Shotgun,Normal Y Off Close
Bears,offense,Playbook 6,Shotgun,Normal Y Off Wk
Bears,offense,Playbook 6,Shotgun,Spread
Bears,offense,Playbook 6,Shotgun,Tight Y Off Wk
Bears,offense,Playbook 6,Shotgun,Trips
Bears,offense,Playbook 6,Shotgun,Trips Hb Wk
Bears,offense,Playbook 6,Shotgun,Wing Stack
Bears,offense,Playbook 6,Shotgun,Wing Tight Nasty
Bears,offense,Playbook 6,Shotgun,Y Off Trips
Bears,offense,Playbook 6,Shotgun,Y Off Trips Wk
Bears,offense,Playbook 6,Shotgun,H Pro
Bears,offense,Playbook 6,Shotgun,Normal
Bears,offense,Playbook 7,I Form,H Pro
Bears,offense,Playbook 7,I Form,Normal
Bears,offense,Playbook 8,Goal Line Offense,Normal
Bears,defense,Playbook 4,4-3,Even 6-1
Bears,defense,Playbook 4,4-3,Over
Bears,defense,Playbook 4,4-3,Over Solid
Bears,defense,Playbook 4,4-3,Over Wide
Bears,defense,Playbook 4,4-3,Bear
Bears,defense,Playbook 4,4-3,Double Mug
Bears,defense,Playbook 4,4-3,Over
Bears,defense,Playbook 4,4-3,Wide
Bears,defense,Playbook 4,4-3,Over G
Bears,defense,Playbook 4,4-3,Rush
Bears,defense,Playbook 4,4-3,Sugar 3-2
Bears,defense,Playbook 4,4-3,5-3
Bears,defense,Playbook 4,4-3,6-2
Bears,defense,Playbook 4,4-3,3 Deep
Bears,defense,Playbook 5,46,Bear
Bears,defense,Playbook 5,46,Double Mug
Bears,defense,Playbook 5,46,Over
Bears,defense,Playbook 5,46,Wide
Bears,defense,Playbook 5,46,Over G
